experiment_id,timestamp,strategy,config_name,status,job_id,r2_target,notes
ag_20250902_172522_392064,Di 2. Sep 17:25:23 WEST 2025,simple_only,phase1_best_quality_stacked_mg_focused_weights_improved_no_reduction,SUCCESS,projects/586323113169/locations/us-central1/customJobs/2074899198913806336,0.8,Phase1: High-impact config targeting R²≥0.8
ag_20250902_174001_414269,Di 2. Sep 17:40:03 WEST 2025,simple_only,phase1_best_quality_stacked_mg_focused_weights_improved_no_reduction,SUCCESS,projects/586323113169/locations/us-central1/customJobs/1952176109067960320,0.8,Phase1: High-impact config targeting R²≥0.8
ag_20250902_174035_417568,Di 2. Sep 17:40:36 WEST 2025,simple_only,phase1_best_quality_stacked_mg_focused_weights_improved_no_reduction,SUCCESS,projects/586323113169/locations/us-central1/customJobs/540297625887309824,0.8,Phase1: High-impact config targeting R²≥0.8
ag_20250902_174047_419103,Di 2. Sep 17:40:48 WEST 2025,simple_only,phase1_best_quality_stacked_mg_focused_weights_improved_no_reduction,SUCCESS,projects/586323113169/locations/us-central1/customJobs/8724464048726343680,0.8,Phase1: High-impact config targeting R²≥0.8
ag_20250902_174749_437307_13210,Di 2. Sep 17:47:51 WEST 2025,simple_only,best_quality_mg_focused_weights_improved_no_reduction,SUCCESS,projects/586323113169/locations/us-central1/customJobs/4800913979612332032,0.8,Best quality with Mg-focused features and improved weights
ag_20250902_174833_439897_10933,Di 2. Sep 17:48:35 WEST 2025,simple_only,best_quality_mg_focused_weights_improved_no_reduction,SUCCESS,projects/586323113169/locations/us-central1/customJobs/2521881461930328064,0.8,Best quality with Mg-focused features and improved weights
ag_20250902_175559_450661_23592,Di 2. Sep 17:56:01 WEST 2025,simple_only,best_quality_stacked_mg_focused_weights_improved_no_reduction,SUCCESS,projects/586323113169/locations/us-central1/customJobs/1808272027224637440,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, weights_improved weighting, no_reduction reduction, GPU=true
ag_20250902_175709_452208_24287,Di 2. Sep 17:57:11 WEST 2025,simple_only,best_quality_stacked_mg_focused_weights_improved_no_reduction,SUCCESS,projects/586323113169/locations/us-central1/customJobs/2830589142637740032,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, weights_improved weighting, no_reduction reduction, GPU=true
ag_20250902_180012_458835_6437,Di 2. Sep 18:00:13 WEST 2025,simple_only,best_quality_stacked_mg_focused_weights_improved_no_reduction,SUCCESS,projects/586323113169/locations/us-central1/customJobs/6514533637826805760,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, weights_improved weighting, no_reduction reduction, GPU=true
ag_20250902_180244_462653_29918,Di 2. Sep 18:02:46 WEST 2025,simple_only,best_quality_stacked_mg_focused_weights_improved_no_reduction,SUCCESS,projects/586323113169/locations/us-central1/customJobs/6802764013978517504,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, weights_improved weighting, no_reduction reduction, GPU=true
ag_20250902_181231_476281_51768,2025-09-02 18:12:33.018225,simple_only,best_quality_stacked_mg_focused_weights_improved_no_reduction,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_181253_476281_73018,2025-09-02 18:12:54.657362,simple_only,best_quality_stacked_mg_focused_weights_improved_no_reduction,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_181314_476281_94657,2025-09-02 18:13:16.247827,simple_only,best_quality_stacked_mg_focused_weights_improved_pls_conservative,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_182127_491813_87468,2025-09-02 18:21:29.044685,simple_only,best_quality_stacked_mg_focused_weights_improved_no_reduction,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_182149_491813_9045,2025-09-02 18:21:50.608701,simple_only,best_quality_stacked_mg_focused_weights_improved_no_reduction,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_182210_491813_30609,2025-09-02 18:22:12.123879,simple_only,best_quality_stacked_mg_focused_weights_improved_pls_conservative,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_182232_491813_52124,2025-09-02 18:22:33.848445,simple_only,best_quality_stacked_mg_focused_weights_improved_pls_conservative,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_182253_491813_73848,2025-09-02 18:22:55.439794,simple_only,best_quality_stacked_mg_focused_weights_improved_pls_optimal,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_182315_491813_95440,2025-09-02 18:23:16.804139,simple_only,best_quality_stacked_mg_focused_weights_improved_pls_optimal,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_182336_491813_16804,2025-09-02 18:23:38.342951,simple_only,best_quality_stacked_mg_focused_weights_improved_pca_variance,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_182358_491813_38343,2025-09-02 18:23:59.951719,simple_only,best_quality_stacked_mg_focused_weights_improved_pca_variance,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_182419_491813_59952,2025-09-02 18:24:21.495835,simple_only,best_quality_stacked_mg_focused_weights_improved_pca_fixed,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_182441_491813_81496,2025-09-02 18:24:43.290031,simple_only,best_quality_stacked_mg_focused_weights_improved_pca_fixed,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_182503_491813_3290,2025-09-02 18:25:04.773912,simple_only,best_quality_stacked_mg_focused_weights_legacy_no_reduction,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_182524_491813_24774,2025-09-02 18:25:26.275307,simple_only,best_quality_stacked_mg_focused_weights_legacy_no_reduction,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_182546_491813_46275,2025-09-02 18:25:47.783619,simple_only,best_quality_stacked_mg_focused_weights_legacy_pls_conservative,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_182607_491813_67784,2025-09-02 18:26:09.389202,simple_only,best_quality_stacked_mg_focused_weights_legacy_pls_conservative,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_182629_491813_89389,2025-09-02 18:26:30.994911,simple_only,best_quality_stacked_mg_focused_weights_legacy_pls_optimal,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_182650_491813_10995,2025-09-02 18:26:52.450843,simple_only,best_quality_stacked_mg_focused_weights_legacy_pls_optimal,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_182712_491813_32451,2025-09-02 18:27:14.004658,simple_only,best_quality_stacked_mg_focused_weights_legacy_pca_variance,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_182734_491813_54005,2025-09-02 18:27:35.518212,simple_only,best_quality_stacked_mg_focused_weights_legacy_pca_variance,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_182755_491813_75518,2025-09-02 18:27:57.062531,simple_only,best_quality_stacked_mg_focused_weights_legacy_pca_fixed,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_182817_491813_97063,2025-09-02 18:28:48.533015,simple_only,best_quality_stacked_mg_focused_weights_legacy_pca_fixed,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_182908_491813_48533,2025-09-02 18:29:10.025468,simple_only,best_quality_stacked_mg_focused_no_weights_conc_no_reduction,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_182930_491813_70025,2025-09-02 18:29:31.536025,simple_only,best_quality_stacked_mg_focused_no_weights_conc_no_reduction,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_182951_491813_91536,2025-09-02 18:29:53.133169,simple_only,best_quality_stacked_mg_focused_no_weights_conc_pls_conservative,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_183013_491813_13133,2025-09-02 18:30:14.607695,simple_only,best_quality_stacked_mg_focused_no_weights_conc_pls_conservative,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_183034_491813_34608,2025-09-02 18:30:36.175795,simple_only,best_quality_stacked_mg_focused_no_weights_conc_pls_optimal,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_183056_491813_56176,2025-09-02 18:30:57.663874,simple_only,best_quality_stacked_mg_focused_no_weights_conc_pls_optimal,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_183117_491813_77664,2025-09-02 18:31:20.764742,simple_only,best_quality_stacked_mg_focused_no_weights_conc_pca_variance,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_183140_491813_769,2025-09-02 18:31:44.147989,simple_only,best_quality_stacked_mg_focused_no_weights_conc_pca_variance,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_183204_491813_24158,2025-09-02 18:32:07.321024,simple_only,best_quality_stacked_mg_focused_no_weights_conc_pca_fixed,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_183227_491813_47322,2025-09-02 18:32:30.729496,simple_only,best_quality_stacked_mg_focused_no_weights_conc_pca_fixed,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_183250_491813_70733,2025-09-02 18:32:52.928768,simple_only,best_quality_stacked_mg_focused_no_weights_no_conc_no_reduction,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_183312_491813_92929,2025-09-02 18:33:14.666935,simple_only,best_quality_stacked_mg_focused_no_weights_no_conc_no_reduction,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_183334_491813_14667,2025-09-02 18:33:36.416165,simple_only,best_quality_stacked_mg_focused_no_weights_no_conc_pls_conservative,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_183356_491813_36416,2025-09-02 18:33:58.194539,simple_only,best_quality_stacked_mg_focused_no_weights_no_conc_pls_conservative,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_183418_491813_58195,2025-09-02 18:34:19.500361,simple_only,best_quality_stacked_mg_focused_no_weights_no_conc_pls_optimal,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_183439_491813_79500,2025-09-02 18:34:40.988390,simple_only,best_quality_stacked_mg_focused_no_weights_no_conc_pls_optimal,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_183500_491813_988,2025-09-02 18:35:02.674902,simple_only,best_quality_stacked_mg_focused_no_weights_no_conc_pca_variance,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_183522_491813_22675,2025-09-02 18:35:24.452235,simple_only,best_quality_stacked_mg_focused_no_weights_no_conc_pca_variance,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
ag_20250902_183544_491813_44453,2025-09-02 18:35:46.241230,simple_only,best_quality_stacked_mg_focused_no_weights_no_conc_pca_fixed,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=True
ag_20250902_183606_491813_66241,2025-09-02 18:36:07.969212,simple_only,best_quality_stacked_mg_focused_no_weights_no_conc_pca_fixed,SUCCESS,,0.8,simple_only strategy, best_quality_stacked preset, mg_focused features, GPU=False
